                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.1999,                 2.2899,                0.96884,                 1.1129,                0.55299,                0.40698,                0.41735,                 0.2019,                0.59284,                0.34302,                0.33449,                0.09671,                 1.7095,                  4.128,                 1.8042,                 1.4801,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2031,                 2.1696,                 1.0357,                 1.1466,                0.61379,                0.36047,                0.40081,                0.20262,                0.52482,                0.31466,                0.31195,                0.09612,                  1.764,                 4.2186,                 1.8566,                 1.5272,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2876,                 2.3358,                 1.0299,                 1.1921,                0.63382,                0.40116,                0.45105,                0.22514,                0.53279,                0.34302,                0.31274,                0.10247,                 1.7704,                 4.2795,                 1.6826,                 1.5371,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2121,                 2.2834,                0.98156,                 1.1456,                0.68446,                0.37209,                0.44283,                0.20743,                0.53023,                0.28875,                0.26915,                0.09469,                 1.8733,                 4.6631,                 1.8825,                 1.6039,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1801,                 2.1717,                0.95291,                   1.11,                0.60684,                0.41279,                0.42923,                0.20224,                0.47693,                0.31977,                0.28924,                0.08985,                 1.8427,                 4.3949,                 1.9219,                 1.5907,               0.000812,               0.000812,               0.000812
                     63,                 1.1793,                 2.2471,                0.94622,                 1.0921,                0.47949,                0.43023,                0.41743,                0.20157,                0.39163,                0.32558,                0.27803,                0.09035,                 1.7899,                 4.3904,                 1.9346,                 1.5721,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2262,                 2.2107,                0.97651,                   1.15,                0.59447,                0.44186,                0.44206,                0.20238,                0.45873,                0.34884,                0.28454,                0.09381,                 1.8197,                 4.7467,                 1.8892,                 1.5757,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1852,                 2.2195,                0.92663,                 1.1166,                0.54753,                 0.4362,                0.45506,                0.22109,                0.41771,                0.33366,                0.27308,                0.10512,                 1.8033,                 4.8475,                 1.8119,                   1.57,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1616,                 2.2256,                0.90719,                 1.1038,                0.60271,                0.44186,                 0.4785,                0.22743,                0.47583,                0.34884,                0.30858,                0.10169,                 1.7777,                 4.4889,                  1.731,                 1.5362,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1687,                  2.138,                0.91779,                 1.1166,                0.74888,                0.44186,                0.48421,                0.22244,                0.57956,                0.30814,                 0.3076,                0.09836,                 1.7702,                 4.4351,                 1.6621,                 1.5044,               0.000713,               0.000713,               0.000713
                     68,                 1.1577,                 2.1267,                0.88541,                 1.1035,                0.75851,                0.40698,                 0.4848,                0.22114,                0.57397,                0.30814,                0.31799,                0.09869,                 1.7934,                 4.5709,                 1.7154,                  1.527,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1085,                 2.1243,                 0.8749,                 1.0934,                0.74728,                0.37209,                0.47081,                0.20797,                0.47366,                0.33721,                0.28877,                0.08781,                 1.8254,                 5.0117,                 1.8132,                 1.5775,              0.0006734,              0.0006734,              0.0006734
                     70,                  1.098,                 2.0118,                0.89045,                 1.0747,                0.73716,                0.43023,                0.49712,                0.21955,                0.52735,                0.31395,                0.29881,                 0.1011,                 1.8599,                 4.9704,                 1.7955,                 1.5993,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1128,                 2.0923,                0.86095,                 1.0933,                 0.6984,                0.43083,                0.47815,                0.23005,                 0.5155,                0.34302,                0.30016,                0.10486,                 1.7875,                 4.7583,                 1.7699,                  1.555,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1115,                  2.073,                0.87071,                 1.0779,                0.69834,                0.40698,                 0.4699,                0.22825,                0.49903,                0.36628,                0.34911,                0.10386,                 1.7456,                 4.2712,                 1.8398,                 1.5064,               0.000614,               0.000614,               0.000614
                     73,                 1.1396,                 2.2083,                  0.889,                 1.0847,                 0.6382,                0.43073,                0.47054,                  0.208,                0.49897,                0.33721,                0.28985,                0.08677,                  1.818,                 4.5025,                 1.8885,                  1.535,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0982,                 2.0987,                0.84526,                  1.069,                0.71691,                0.37209,                0.44045,                  0.208,                0.53838,                0.30814,                 0.2852,                0.09127,                 1.7496,                 4.7821,                 1.8976,                 1.4744,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0667,                  2.056,                0.82938,                 1.0573,                0.73638,                0.38953,                  0.461,                0.23253,                0.59122,                0.31977,                0.30801,                0.10509,                 1.7505,                 4.4859,                  1.803,                 1.4847,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0885,                 2.0279,                0.88668,                 1.0574,                0.60074,                0.39535,                0.44024,                0.22818,                0.56506,                0.36047,                0.34081,                0.09814,                 1.6929,                 4.5633,                 1.9355,                 1.4744,              0.0005348,              0.0005348,              0.0005348
                     77,                  1.052,                 1.9572,                 0.8143,                 1.0587,                0.62832,                0.39535,                0.44264,                0.20808,                 0.5291,                0.35276,                0.32165,                0.08459,                 1.7777,                 4.6884,                 1.9621,                 1.5455,               0.000515,               0.000515,               0.000515
                     78,                 1.0956,                  1.972,                 0.8293,                 1.0575,                0.72419,                0.36047,                 0.4436,                0.21067,                0.55895,                0.31684,                0.31439,                0.09087,                 1.7965,                 4.6791,                  1.911,                 1.5672,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.014,                 1.8951,                0.78074,                 1.0294,                0.75338,                0.39075,                 0.4513,                0.22137,                0.59506,                0.31977,                0.29823,                0.10009,                 1.7832,                 4.6838,                 1.9041,                 1.5488,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0523,                  1.912,                0.80764,                 1.0525,                0.69439,                0.35669,                0.43766,                0.20995,                0.62413,                0.27997,                0.28811,                0.09386,                 1.7968,                 4.9809,                 1.9373,                 1.5584,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0328,                 1.8222,                0.77598,                 1.0472,                0.73048,                0.34302,                0.43616,                 0.2145,                0.54726,                0.35842,                0.31671,                0.09638,                 1.8079,                 4.9972,                 1.7803,                  1.579,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0453,                 1.8792,                0.84054,                 1.0602,                0.78576,                0.37791,                0.48352,                0.22868,                0.55271,                0.35465,                0.31643,                0.10624,                 1.8122,                 4.8802,                 1.6609,                 1.5675,               0.000416,               0.000416,               0.000416
                     83,                 1.0845,                 2.0744,                0.81909,                 1.0532,                0.62541,                0.42442,                0.45789,                0.20724,                0.65543,                0.36047,                0.31941,                0.10187,                 1.8455,                 4.8246,                 1.6638,                 1.5897,              0.0003962,              0.0003962,              0.0003962
                     84,                0.98267,                 1.9247,                0.76294,                 1.0151,                0.63399,                0.40116,                0.42546,                0.20276,                0.50576,                0.34302,                0.30273,                0.09283,                 1.8776,                 4.8481,                 1.6661,                 1.5894,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0245,                 2.0416,                0.76047,                 1.0185,                0.66322,                0.41218,                0.44335,                0.19984,                0.53904,                0.31395,                0.29695,                0.09026,                 1.8574,                  4.921,                 1.6893,                 1.5565,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0224,                 2.0257,                0.76239,                 1.0246,                0.67139,                0.40388,                0.44971,                0.20312,                0.57924,                0.31395,                0.28519,                0.09122,                 1.8628,                 4.8548,                 1.7029,                 1.5796,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.022,                 1.9495,                0.75915,                 1.0147,                0.66701,                0.38433,                 0.4458,                0.20373,                0.53854,                0.29651,                0.27325,                0.09071,                 1.8388,                 4.7272,                 1.7736,                 1.5719,               0.000317,               0.000317,               0.000317
                     88,                 1.0039,                 1.8914,                0.76118,                  1.026,                0.74887,                0.34677,                 0.4417,                0.21131,                0.50252,                0.32303,                0.29865,                0.09988,                 1.8495,                 4.8658,                  1.729,                 1.6003,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.9753,                 1.7249,                0.74039,                 1.0186,                0.60681,                 0.4186,                0.45786,                0.21696,                0.49094,                 0.3314,                0.27843,                0.10002,                 1.8417,                 5.2304,                 1.6987,                 1.6044,              0.0002774,              0.0002774,              0.0002774
                     90,                0.97558,                 1.7913,                0.75134,                 1.0282,                0.72224,                0.39535,                0.47388,                0.22661,                0.53769,                0.30233,                0.27028,                0.09252,                 1.8505,                 5.2833,                 1.6239,                 1.6019,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0066,                 1.8269,                 0.8288,                 1.0362,                0.71043,                0.38953,                0.47667,                0.22875,                0.54158,                0.30233,                0.26753,                0.09195,                 1.8446,                 5.2003,                 1.6305,                 1.5696,              0.0002378,              0.0002378,              0.0002378
                     92,                0.97135,                 1.7844,                0.75857,                 1.0398,                0.61487,                 0.4186,                0.46308,                0.22176,                 0.4836,                 0.3314,                0.28537,                 0.1001,                 1.8767,                 5.1393,                 1.5834,                 1.6008,               0.000218,               0.000218,               0.000218
                     93,                0.92739,                 1.6629,                0.68057,                 0.9851,                0.64779,                0.44186,                0.47521,                0.22879,                0.48275,                0.33721,                0.28556,                0.10178,                 1.8769,                 5.1829,                 1.6341,                 1.6165,              0.0001982,              0.0001982,              0.0001982
                     94,                0.96374,                 1.7255,                0.75463,                  1.044,                0.63541,                0.47093,                0.48126,                0.23179,                0.46077,                0.36047,                0.28818,                0.09489,                 1.8526,                 5.0652,                 1.5917,                 1.6117,              0.0001784,              0.0001784,              0.0001784
                     95,                0.93526,                  1.711,                0.68705,                0.99176,                0.64113,                 0.4593,                0.49173,                0.23399,                0.50195,                0.33721,                 0.2925,                0.09317,                 1.8193,                 5.0005,                 1.5405,                 1.5902,              0.0001586,              0.0001586,              0.0001586
                     96,                0.92766,                 1.7302,                0.69255,                 0.9992,                 0.6812,                0.45349,                0.50542,                0.23858,                0.49719,                 0.3314,                0.28563,                  0.095,                 1.7991,                 5.1219,                 1.5086,                 1.5787,              0.0001388,              0.0001388,              0.0001388
                     97,                0.89446,                 1.5839,                0.66568,                 0.9728,                0.67385,                0.44186,                0.50364,                0.23476,                 0.4782,                0.32558,                0.28457,                0.10194,                 1.8103,                 5.2553,                 1.5373,                  1.599,               0.000119,               0.000119,               0.000119
                     98,                0.92276,                 1.6856,                0.66377,                0.97906,                0.71222,                0.42442,                0.50444,                0.23332,                0.58065,                0.30233,                0.28722,                0.09975,                 1.8152,                 5.4004,                 1.5507,                 1.6026,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.87005,                 1.5673,                0.62739,                0.97205,                0.69356,                0.40116,                0.48205,                0.23002,                0.57377,                0.30233,                0.28926,                0.09939,                 1.7999,                 5.4186,                 1.5724,                 1.5772,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.85956,                  1.626,                0.63453,                0.98536,                0.70212,                0.39535,                 0.4742,                0.22625,                0.62153,                 0.2907,                0.29192,                0.09803,                 1.8069,                 5.4531,                 1.5818,                 1.5861,               5.96e-05,               5.96e-05,               5.96e-05
